job_id,titel,arbeitgeber,ort,land,link,content_clean
crawl_001,Mechaniker:in,SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/mechaniker-in/c53f0718-fd0d-4630-91b3-01c6f952400d,"Verantwortung für die Einhaltung der gesetzlichen Instandhaltungsvorgaben des Rollmaterials
Instandhaltungs- bzw. Wartungsarbeiten an den elektrischen und thermischen Schienenfahrzeugen sowie Personenwagen der Zentralbahn
Umbauarbeiten am Rollmaterial und Mitarbeit bei verschiedenen Projekten
Möglichkeit für berufliche Weiterentwicklung
Vielseitiges Arbeitsgebiet an einem modernen Arbeitsplatz inkl. einem top eingespielten und grossartigen Team

Abgeschlossene Berufslehre als Automobil-Mechatroniker:in, Polymechaniker:in oder ähnlichem Beruf mit mehrjähriger Berufserfahrung, von Vorteil in der Instandhaltung
Besitz des Führerausweises Kat. B sowie gute PC-Anwenderkenntnisse
Kreativität und Ideen bei der Störungssuche
Hohe Eigenverantwortung und Selbständigkeit, gute Team- und Konfliktfähigkeit
Motivation sich einzubringen, etwas bewegen zu wollen und das Arbeitsumfeld aktiv mitzugestalten"
crawl_002,Quereinstieg Kundenbegleiter:in für Frequenzerfassung,SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/quereinstieg-kundenbegleiter-in-fuer-frequenzerfassung/1b0ddca0-51d2-4666-8cd0-3e7200f4a7de,"Als Kundenbegleiter:in für Frequenzerfassung stehst du im direkten Kontakt mit unseren Kund:innen und begleitest sie auf ihrer Reise. Du befragst unsere Fahrgäste nach ihrer Reisestrecke und ihren Fahrausweisen, um das Reiseverhalten zu ermitteln.
Die gesammelten Daten erfasst du in einem elektronischen Gerät.
Du informierst die Kundschaft über ihre Reise, stellst den Reisekomfort sicher und lenkst die Kundenströme.
In einem sehr abwechslungsreichen Berufsalltag bewegst du mit täglich neu zugeteilten Teamkolleg:innen die Schweiz.
Dank dem exakt getakteten Dienstplan kannst du pünktlich und ohne weitere Aufgaben oder E-Mails in den wohlverdienten Feierabend.

Du bist kommunikativ, aufgeschlossen und dein freundlicher Umgang mit Menschen sowie deine ausgeprägte Kundenorientierung zeichnen dich aus. Mit deinen sehr guten Kommunikations- und Konfliktfähigkeiten trägst du entscheidend zu einem positiven Kundenerlebnis bei.
Wir setzen auf Zusammenarbeit und Teamgeist, um die zum Teil physisch anspruchsvollen Aufgaben zu bewältigen.
Du hast ein Flair für Zahlen, ein rasches Auffassungsvermögen sowie ein ausgeprägtes Verantwortungsbewusstsein. Du arbeitest effizient und genau, beherrschst digitale Arbeitsmittel und bist bereit, im Schichtbetrieb zu arbeiten.
Du hast eine Berufslehre (mindestens zweijährig) oder Matura abgeschlossen. Deine Motivation ist uns dabei wichtiger als die Branche, aus der du kommst.
Du verfügst über sehr gute Deutschkenntnisse (Niveau C1) und kannst dich bereits auf Französisch verständigen. Zudem bringst du die Bereitschaft mit, innerhalb von zwei Jahren ein Sprachdiplom (Niveau A2) zu erwerben: Französisch, Italienisch oder Englisch.
Im Bewerbungsprozess werden wir von dir einen aktuellen Strafregister- und Betreibungsregisterauszug (nicht älter als 3 Monate) verlangen. Das Dokument kann bei der Einladung zum persönlichen Kennenlernen bestellt werden."
crawl_003,Controlling Advisor (m/w/d),SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/controlling-advisor-m-w-d/0ac214cb-df1a-44fa-826b-be1fd7212908,"Als Controlling Advisor bist du die zentrale Ansprechperson für fachliche Controlling Themen innerhalb der Division und sorgst für die Umsetzung der konzernweiten Vorgaben, die Weiterentwicklung des Fachkonzepts und die Harmonisierung mit den Geschäftsprozessen.
Du unterstützt die Erarbeitung nachhaltiger Lösungen im Rahmen von SAP S/4HANA und gewährleistest stabile sowie tragfähige Prozesse im Parallelbetrieb.
Geschäftsprozesse übersetzt du fachlich in End to End Werteflüsse und sorgst für die korrekte Abbildung in CO und FI, koordinierst Anforderungen zwischen Business, Fachführung, Controlling Service Organisation und IT und begleitest die Umsetzung bis zur fachlichen Freigabe.
Die Einhaltung von Governance, Controlling und internem Kontrollsystem stellst du sicher und übernimmst eine qualitätssichernde Rolle innerhalb der Division.
Interne Leistungsverrechnungen, Umlagen und Sonderverrechnungen führst du verantwortlich durch und pflegst die relevanten Stammdaten und Verrechnungsschlüssel nach Selbstkostenprinzip.
Du bereitest Entscheidungsgrundlagen, Risiken und Fortschritte adressatengerecht auf und berätst Management und Stakeholder auf Augenhöhe.

In der Zusammenarbeit überzeugst du mit Teamgeist, klarer Kommunikation und sicherem Auftreten im Stakeholder Management.
Mit analytischer und konzeptioneller Stärke verstehst du End to End Prozesse und findest pragmatische, lösungsorientierte Wege.
Du besitzt fundierte Kenntnisse in SAP – idealerweise sowohl in R/3 als auch in S/4HANA – insbesondere in den Modulen CO und FI. Zudem hast du Erfahrung in der Anwendung von Controlling-Standards und Manuals sowie in der Beurteilung komplexer Geschäftsfälle.
Einen Hochschulabschluss in Betriebswirtschaft mit Vertiefung Finanzen oder eine Weiterbildung als Expert:in Rechnungslegung und Controlling setzen wir voraus. Zudem verfügst du über mehrjährige Erfahrung in Controlling und Accounting sowie im Umgang mit komplexen Werteflüssen und Governance-Themen.
Du beherrschst Deutsch auf Niveau C2 und bringst idealerweise eine weitere Landessprache auf Niveau A1 mit."
crawl_004,Programmmanager (m/w/d) Region Mitte,SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/programmmanager-m-w-d-region-mitte/43dbbcdd-e705-44d2-a74e-731eeae48b03,"Als Programm Manager:in verantwortest du die Umsetzung der Erweiterungsvorhaben des Schienennetzes in der Region Mittelland.
Du steuerst dein regionales Portfolio im Planungsdreieck zwischen Infrastruktur, Angebot und Rollmaterial.
Du stellst die regelmäßige und angemessene Information der internen und externen Stakeholder sicher.
In internen und externen Gremien vertrittst du die Interessen der Erweiterungsvorhaben und erstellst dazu die notwendigen Entscheidungsgrundlagen.
Darüber hinaus führst du das Risikomanagement und leitest frühzeitig Massnahmen zur Steuerung ein.

Du besitzt die Fähigkeit zur systematischen und kreativen Problemlösung und verstehst es, komplexe Zusammenhänge rasch zu erfassen und stufengerecht darzustellen.
Im Umgang mit unseren Partnern hast du ein sicheres Auftreten und verstehst es, die SBB angemessen zu repräsentieren. Du verfügst über Verhandlungsgeschick mit öffentlichen Ämtern und bringst ein hohes Verständnis für politische Prozesse mit.
Eine breite bahnbetriebliche Ausbildung oder einen Hoch-/Fachhochschulabschluss in einem betriebswirtschaftlichen oder technischen Bereich setzen wir voraus.
Du kennst die Besonderheiten der Bahninfrastruktur und verfügst idealerweise über fundierte Kenntnisse des Bahnbetriebs, der Angebotsplanung sowie der Planung, Projektierung und Ausführung von Infrastrukturprojekten der Bahn.
In Deutsch bist du verhandlungssicher. Gute Kenntnisse in einer anderen Landessprache sind von Vorteil."
crawl_005,Integrierte Ressourcenplaner:in (m/w/d),SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/integrierte-ressourcenplaner-in-m-w-d/c0b65cf1-94dd-4abd-ba02-85f0cc19ae17,"Erstellung der operativen Schichtplanung für den Gotthard- (GBT) und den Ceneri-Basistunnel (CBT) mit Unterstützung von IT-Tools und in Absprache mit dem Projektleiter der Koordination.
Die gesamte Planung in Absprache mit AVOR koordinieren, zum gegebenen Zeitpunkt die Schichtplanung definitiv klären und die entsprechenden Stellen (AVOR, Logistik, TFF, AL etc.) mit der Umsetzung beauftragen.
In der Rolle des Schichtleiters leiten Sie die Ausführung der Arbeitsstellen der geplanten Schichten (in Abstimmung mit den Kollegen auf der anderen Seite des Tunnels) unter Einhaltung der Regeln, Prozesse und Vereinbarungen der SBB.
Sie leiten die Gesamtplanung einer Schicht, optimieren die Ressourcen (v.a. Fahrzeuge, Mitarbeitende, Intervalle) und die indirekten Kosten und sind verantwortlich und setzen bei Problemen während einer Schicht die ersten Massnahmen um, um die Ausführung (aber auch die Planung) der nächsten Schicht sicherstellen zu können.
Übernimmt im Ereignisfall die Koordinationsrolle und arbeitet gemäss den geltenden Prozessen mit den entsprechenden Betriebs- und Interventionsstellen zusammen.
Sicherstellung der AVOR-Tätigkeit für die Kanalreinigung im GBT und CBT.

Ausbildung zum Techniker TS oder gleichwertiger Abschluss, vorzugsweise im Bereich Mechanik, Elektrik oder Informatik.
Sie haben eine hohe Sozialkompetenz und vor allem eine sehr gute Teamfähigkeit, Selbstorganisation und -initiative sowie ein vernetztes Denken.
Ausgezeichnete Kenntnisse des Bahnwesens, sowohl in den multidisziplinären Komponenten der Bahnanlagen als auch in den entsprechenden Reglementen und Prozessen, werden in der Auswahlphase von Vorteil sein.
Sehr gute Kenntnisse der italienischen und/oder deutschen Sprache mit guten Kenntnissen der jeweils anderen Sprache in Wort und Schrift.
Sie denken und handeln multidisziplinär, sind es gewohnt, Prioritäten zu setzen und bleiben in hektischen Situationen ruhig.
Überzeugungskraft, Kommunikationsfähigkeit und Flexibilität."
crawl_006,Fachtechniker:in Instandhaltung,SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/fachtechniker-in-instandhaltung/e19c9607-2528-49d7-8814-7a1cb9c965f9,"Du stellst die Betriebsbereitschaft der gesamten technischen Infrastruktur sicher und ermöglichst einen verlässlichen Anlagenbetrieb.
Mit Wartungs- und Inspektionsarbeiten an Anlagen und Gebäuden trägst du massgeblich zu deren zuverlässiger Verfügbarkeit bei.
Zusätzlich bist du für die Betreuung und Koordination externer Dienstleister zuständig, die in unserem Werk und unserer Serviceanlage an den von ihnen gelieferten Anlagen Garantie- oder Wartungsarbeiten durchführen
Störungen an pneumatischen, hydraulischen und elektromechanischen Systemen analysierst du mithilfe technischer Beschreibungen, Schemata, Betriebs- und Einsatzdaten, Mess- und Testgeräten sowie anhand von Erfahrungswerten.
Du erstellst gelegentlich Anleitungen und Dokumentationen und unterstützt damit den Wissensaustausch im Team.
Je nach Eignung und Interesse übernimmst du die Stellvertretung des Disponenten oder des Teamleiters.

Du legst Wert auf Abwechslung, Selbstständigkeit und technische Herausforderungen und hast Freude an der Instandhaltung?
Du kannst technische Schemata und Unterlagen sicher lesen oder bist bereit, dir diese Fähigkeit anzueignen.
Für diese anspruchsvolle Tätigkeit hast du bereits mehrere Jahre Berufserfahrung gesammelt.
Mit einer abgeschlossenen Berufslehre EFZ als Mechatroniker:in, Elektriker:in, Automatiker:in, Polymechaniker:in, Anlagen- und Apparatebauer:in oder einer vergleichbaren Ausbildung bist du ideal auf diese Position vorbereitet.
Eine Weiterbildung als Instandhaltungsfachmann:fachfrau ist von Vorteil.
Idealerweise verfügst du bereits über die eingeschränkte Installationsbewilligung nach Art. 15 oder bist bereit, diese zu erwerben.
Du verfügst über sehr gute Deutsch- und/oder Französischkenntnisse in Wort und Schrift."
crawl_007,Diagnostiker:in / Fahrzeugdiagnostiker:in,SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/diagnostiker-in-fahrzeugdiagnostiker-in/61eee894-debb-42ef-9fa4-521a18ef6708,"Als Fahrzeugdiagnostiker:in erstellst du mit modernen Diagnosegeräten präzise Störungsdiagnosen am Rollmaterial des Personenverkehrs.
Es bereitet dir Freude, Störungsdiagnosen während des Betriebes und in Stillstandzeiten durchzuführen.
Du bringst dich aktiv in Projekte ein, die die Verfügbarkeit unserer Züge erhöhen und Störungszeiten minimieren.
Zusätzlich übernimmst du gerne standortspezifische Aufgaben und gestaltest so den Betrieb vor Ort mit.

Du zeichnest dich durch analytische Fähigkeiten, eine rasche Auffassungsgabe sowie vernetztes Denken aus und triffst gerne eigenverantwortliche Entscheidungen. Zur Förderung deiner fachlichen Entwicklung bist du bereit, eine gezielte Ausbildung zu absolvieren.
Sehr gute Deutschkenntnisse in Wort und Schrift (C1) runden dein Profil ab. Kenntnisse einer zweiten Landessprache sind von Vorteil. Deine guten IT-Kenntnisse helfen dir täglich dabei, Rapporte zu verfassen und deine Arbeit lückenlos zu dokumentieren.
Du bist offen für Nacht- und Schichtarbeit und im Besitz des Führerausweis Kat. B.
Für diese Stelle benötigst du eine abgeschlossene Berufslehre in technischer oder elektrischer Richtung, vorzugsweise Automobilmechatroniker:in, Polymechaniker:in, Automatiker:in, Automobildiagnostiker:in oder Elektroinstallateur:in mit beruflicher Praxis."
crawl_008,Transport Logistiker:in,SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/transport-logistiker-in/babf39cd-023e-4853-a04d-8ef7799ee566,"Als Logistiker:in sortierst du das Reisegepäck, Pakete und Briefe für unsere Kundinnen und Kunden.
Diese Sendungen lädst du in Züge und Lieferwagen um.
Mit unseren Strassenfahrzeugen transportierst du die Sendungen an den Zielort.
Als Service transportierst du das Reisegepäck unserer Kundinnen und Kunden von Tür zu Tür.
Du platzierst Werbeplakate in unseren Zügen.

Du zeichnest dich durch Verlässlichkeit, Flexibilität und eine lösungs- sowie zielorientierte Arbeitsweise aus. Dein Engagement und deine aufgeschlossene Persönlichkeit runden dein Profil perfekt ab.
Ein ausgeprägtes Bewusstsein für Arbeitssicherheit ist für dich selbstverständlich, und du arbeitest stets kunden- und qualitätsorientiert.
Um diesen Job optimal ausführen zu können, bringst du eine abgeschlossene Grundausbildung als Logistiker:in EBA oder Chauffeur mit und/oder verfügst über mindestens 5 Jahre Erfahrung in der Logistik.
Du besitzt zwingend den Führerschein der Kategorie B sowie von Vorteil einen Staplerausweis.
Die deutsche Sprache beherrschst du gut in Wort und Schrift (mindestens Niveau B1).
Du bist bereit, im Schichtbetrieb und an Wochenenden zu arbeiten (Montag bis Sonntag zwischen 5.00-23.00 Uhr)."
crawl_009,IT Service Manager (m/w/d),SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/it-service-manager-m-w-d/9510185b-69e6-4715-9745-e0f076cd7f48,"Als IT Service Manager entwickelst du IT-Betriebsprozesse gezielt weiter und stellst sicher, dass sie künftigen Anforderungen gerecht werden und den stabilen Betrieb der digitalen Services unterstützen.
In der Rolle als EMoD (Escalation Manager on Duty) übernimmst du die Koordination bei IT Grossstörungen und steuerst die strukturierte und wirkungsvolle Störungsbehebung mit klarem Fokus auf Business Impact. Die Rolle EMoD ist wochenweise im Turnus 7x24h im Einsatz. 
Dabei sorgst du für eine zeit-, adressatengerechte und transparente Kommunikation über geeignete Kanäle und hältst alle Beteiligten auf dem Laufenden.
Gemeinsam mit Digital Services und externen Providern koordinierst du End to End Massnahmen und stimmst Schnittstellen, Plattformen, Netzwerke und Applikationen aufeinander ab.

In einem kooperativen Teamumfeld arbeitest du vertrauensvoll mit internen und externen Stakeholdern zusammen, verfügst über eine sehr hohe Sozialkompetenz und handelst service- und kundenorientiert. 
Mehrjährige Erfahrung im Incident Management sowie mit IT-Service-Management-Frameworks wie ITIL. 
Eine Ausbildung oder Weiterbildung in Informatik auf Stufe HF oder FH oder eine gleichwertige Qualifikation. 
Dank ausgeprägter Analysefähigkeit, schneller Auffassungsgabe und sicherem Auftreten triffst du auch unter hoher Belastung fundierte Entscheidungen. 
Du verfügst über ein breites IT-Verständnis zu Plattformen, Netzwerken und Applikationen und arbeitest routiniert mit Dienstleistern zusammen. 
Du beherrschst Deutsch auf Niveau C2 sowie Englisch mindestens auf Niveau B2."
crawl_010,Teamleiter:in Produktion (Reparatur und Instandhaltung),SBB AG,Bern,Schweiz,https://jobs.sbb.ch/v2/offene-stellen/teamleiter-in-produktion-reparatur-und-instandhaltung/5dd3bf73-1275-4d3e-84cd-1614ee5f0c8c,"Als Teamleiter:in Produktion verantwortest du die personelle und fachliche Führung von 14 Mitarbeitenden im Regionalen Bahntechnik Center in Dulliken.
Zusammen mit deinem Team bist du zuständig für das Prüfen und Unterhalten von Erdungsstangen, Spannungsprüfern und Leistungstransformatoren der Bahnstromanlage sowie für den Unterhalt und die Reparatur der Betriebsmittel.
Du leitest anspruchsvolle Projekte (z. B. Werkstatt- und Prozessoptimierungen, Automatisierungs- und Digitalisierungsprojekte), entwickelst Prozesse, dokumentierst Arbeitsanweisungen und sorgst für nachhaltigen Wissenserhalt und -transfer im Team.
Du bist die erste Anlaufstelle für unsere Partner, koordinierst die Dienstleistungen und das Portfolio der elektrischen Werkstatt und motivierst und förderst die Weiterentwicklung deines Teams nach den Führungsgrundsätzen der SBB.
Ebenfalls leitest und organisierst du den Arbeitsablauf, überwachst die Erledigung der Arbeiten sowie das Budget und die Produktivität und es bereitet dir Freude, dich aktiv an den Weiterentwicklungen übergeordneter Themen und Projekte einzubringen, um die Dienstleistungen der elektrischen Werkstatt nach Kaizen/Lean zu verbessern und die Schnittstellenkomplexität zu den Partnern zu reduzieren.

Du bist eine überzeugende und integrierende Persönlichkeit mit hoher Kommunikationskompetenz, Durchsetzungs- und Macherqualitäten. Gute strategisch-konzeptionelle Fähigkeiten sowie analytisches und kreatives Denkvermögen runden dein Profil ab.
Mit deiner gewinnenden und dynamischen Art fällt es dir leicht in einem sehr komplexen Umfeld neue Lösungen anzustossen und zu verfolgen.
Du hast mindestens 5 Jahre Führungserfahrung im Bereich Produktion und bist versiert im Erarbeiten und Optimieren von Prozessen sowie dem Erstellen von Reportings. Deine guten MS-Office und SAP-Kenntnisse kannst du täglich anwenden. Zudem hast du Erfahrung mit Wartungsplanung, Prüf- und Qualitätsdokumentation.
Eine abgeschlossene Berufsausbildung im Bereich Elektronik, Mechatronik, Maschinenbau oder ähnlichem und einer Weiterbildung HF oder dergleichen. Ein Bachelor in Wirtschaft oder Technik wäre wünschenswert.
Sehr gute mündliche und schriftliche Deutschkenntnisse, gute Französischkenntnisse (Niveau B2) sind für diese Funktion wünschenswert."
