job_id,skill
crawl_001,gesetzlichen Instandhaltungsvorgaben
crawl_001,elektrischen und thermischen Schienenfahrzeugen
crawl_001,Umbauarbeiten am Rollmaterial
crawl_001,PC - Anwenderkenntnisse
crawl_002,Reiseverhalten ermitteln
crawl_002,Daten erfassen
crawl_002,digitale Arbeitsmittel beherrschen
crawl_002,Französisch verständigen
crawl_003,fachliche Controlling Themen
crawl_003,Umsetzung konzernweiter Vorgaben
crawl_003,Weiterentwicklung Fachkonzept
crawl_003,Harmonisierung Geschäftsprozesse
crawl_003,Er</strong>arbeitung nachhaltiger Lösungen
crawl_003,SAP S / 4HANA
crawl_003,stabile tragfähige Prozesse
crawl_003,Geschäftsprozesse End to End
crawl_003,Werteflüsse CO und FI
crawl_003,Koordinierung Anforderungen
crawl_003,Begleitung Umsetzung
crawl_003,fachliche Freigabe
crawl_003,Einhaltung Governance
crawl_003,Controlling internem Kontrollsystem
crawl_003,Interne Leistungsverrechnungen
crawl_003,Umlagen Sonderverrechnungen
crawl_003,Pflege Stammdaten
crawl_003,Verrechnungsschlüssel Selbstkostenprinzip
crawl_003,Aufbereitung Entscheidungsgrundlagen
crawl_003,Beratung Management Stakeholder
crawl_003,Teamgeist klare Kommunikation
crawl_003,sicheres Auftreten
crawl_003,Stakeholder Management
crawl_003,analytische konzeptionelle Stärke
crawl_003,End to End Prozesse
crawl_003,lösungsorientierte Wege
crawl_003,SAP R / 3
crawl_003,Module CO und FI
crawl_003,Beherrschung Deutsch C2
crawl_004,Programm Management
crawl_004,Erweiterungsvorhaben Schienennetz
crawl_004,Regionales Portfolio steuern
crawl_004,Stakeholder Information
crawl_004,Interessen vertreten
crawl_004,Entscheidungsgrundlagen erstellen
crawl_004,Risikomanagement führen
crawl_004,Komplexe Zusammenhänge erfassen
crawl_004,Politische Prozesse verstehen
crawl_004,Bahninfrastruktur Besonderheiten
crawl_004,Bahnbetrieb Kenntnisse
crawl_004,Angebotsplanung Kenntnisse
crawl_004,Infrastrukturprojekten Bahn Planung
crawl_004,Infrastrukturprojekten Bahn Projektierung
crawl_004,Infrastrukturprojekten Bahn Ausführung
crawl_004,Deutsch verhandlungssicher
crawl_005,operative Schichtplanung
crawl_005,IT-Tools Unterstützung
crawl_005,Projektleiter Koordination
crawl_005,AVOR Koordination
crawl_005,Schichtplanung klären
crawl_005,Umsetzung beauftragen
crawl_005,Schichtleiter Rolle
crawl_005,Arbeitsstellen Ausführung
crawl_005,Kollegen Abstimmung
crawl_005,Regeln Einhaltung
crawl_005,Prozesse Einhaltung
crawl_005,Vereinbarungen SBB
crawl_005,Gesamtplanung Schicht
crawl_005,Ressourcen optimieren
crawl_005,Fahrzeuge optimieren
crawl_005,Mitarbeitende optimieren
crawl_005,Intervalle optimieren
crawl_005,indirekte Kosten optimieren
crawl_005,Probleme Massnahmen
crawl_005,Ausführung sicherstellen
crawl_005,Planung sicherstellen
crawl_005,Betriebs und Interventionsstellen Zusammenarbeit
crawl_005,AVOR Tätigkeit
crawl_005,Kanalreinigung GBT
crawl_005,Kanalreinigung CBT
crawl_005,vernetztes Denken
crawl_005,Kenntnisse Bahnwesens
crawl_005,multidisziplinäre Komponenten
crawl_005,Reglementen und Prozessen
crawl_005,italienische Sprache Kenntnisse
crawl_005,deutsche Sprache Kenntnisse
crawl_005,Prioritäten setzen
crawl_005,hektischen Situationen ruhig
crawl_006,Betriebsbereitschaft technische Infrastruktur
crawl_006,Wartungs und Inspektionsarbeiten
crawl_006,Zuverlässiger Verfügbarkeit
crawl_006,Betreuung und Koordination
crawl_006,Externe Dienstleister
crawl_006,Störungen analysieren
crawl_006,Pneumatischen Systemen
